mc_snap_10000000_1049.41.xyz,    -1.766038
mc_snap_10000000_105.879.xyz,    -1.7687
mc_snap_10000000_115.358.xyz,    -1.768699
mc_snap_10000000_1168.14.xyz,    -1.766124
mc_snap_10000000_125.686.xyz,    -1.768696
mc_snap_10000000_1328.47.xyz,    -1.76562
mc_snap_10000000_136.938.xyz,    -1.768679
mc_snap_10000000_146.034.xyz,    -1.768642
mc_snap_10000000_155.734.xyz,    -1.768645
mc_snap_10000000_1646.08.xyz,    -1.764659
mc_snap_10000000_166.078.xyz,    -1.768611
mc_snap_10000000_177.109.xyz,    -1.768606
mc_snap_10000000_1872.01.xyz,    -1.763779
mc_snap_10000000_188.873.xyz,    -1.768556
mc_snap_10000000_1954.01.xyz,    -1.764218
mc_snap_10000000_197.147.xyz,    -1.768516
mc_snap_10000000_2083.8.xyz,    -1.763596
mc_snap_10000000_2128.95.xyz,    -1.763186
mc_snap_10000000_214.797.xyz,    -1.768521
mc_snap_10000000_2270.36.xyz,    -1.762343
mc_snap_10000000_234.028.xyz,    -1.768372
mc_snap_10000000_2369.82.xyz,    -1.762877
mc_snap_10000000_2473.63.xyz,    -1.762239
mc_snap_10000000_254.98.xyz,    -1.76831
mc_snap_10000000_2581.98.xyz,    -1.761754
mc_snap_10000000_2695.09.xyz,    -1.761817
mc_snap_10000000_2753.48.xyz,    -1.761597
mc_snap_10000000_277.808.xyz,    -1.76824
mc_snap_10000000_2874.1.xyz,    -1.760959
mc_snap_10000000_2936.38.xyz,    -1.761229
mc_snap_10000000_309.239.xyz,    -1.768044
mc_snap_10000000_336.925.xyz,    -1.76796
mc_snap_10000000_367.089.xyz,    -1.767862
mc_snap_10000000_417.474.xyz,    -1.76776
mc_snap_10000000_454.85.xyz,    -1.767777
mc_snap_10000000_485.062.xyz,    -1.767567
mc_snap_10000000_528.489.xyz,    -1.767522
mc_snap_10000000_55.6568.xyz,    -1.768738
mc_snap_10000000_575.804.xyz,    -1.767415
mc_snap_10000000_64.6675.xyz,    -1.768732
mc_snap_10000000_640.949.xyz,    -1.767382
mc_snap_10000000_683.522.xyz,    -1.767043
mc_snap_10000000_75.1371.xyz,    -1.768729
mc_snap_10000000_760.853.xyz,    -1.767102
mc_snap_10000000_846.934.xyz,    -1.766844
mc_snap_10000000_85.45.xyz,    -1.768719
mc_snap_10000000_942.753.xyz,    -1.766454
mc_snap_10000000_95.1176.xyz,    -1.768711
